,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2
0,7370,7,0000000000,0,D,16,6
0,7371,8,0000000000,0,S,16,6
0,7372,11,0001000000,64,A,12,2
0,7373,3,0000000000,0,B,19,9
0,7374,7,0000000000,0,C,17,7
0,7375,7,0000000000,0,D,18,8
0,7376,20,0010000000,128,S,5,5
0,7377,14,0001000000,64,A,13,3
0,7378,9,0000000000,0,B,19,9
0,7379,8,0000000000,0,C,18,8
0,7380,6,0000000000,0,D,13,3
0,7381,7,0000000000,0,S,16,6
0,7382,5,0000000000,0,A,12,2
0,7383,6,0000000000,0,B,19,9
0,7384,4,0000000000,0,C,18,8
0,7385,5,0000000000,0,D,16,6
0,7386,4,0001000000,64,S,17,7
0,7387,5,0000000000,0,A,19,9
0,7388,8,0000000000,0,B,18,8
0,7389,6,0000000000,0,C,17,7
0,7390,8,0001000000,64,D,12,2
0,7391,5,0000000000,0,S,10,0
0,7392,7,0000000000,0,A,19,9
0,7393,9,0001000000,64,B,13,3
0,7394,8,0000000000,0,C,18,8
0,7395,7,0001000000,64,D,12,2
0,7396,6,0000000000,0,S,17,7
0,7397,7,0000000000,0,A,19,9
0,7398,5,0000000000,0,B,18,8
0,7399,5,0000000000,0,C,16,6
0,7400,7,0000000000,0,D,18,8
0,7401,5,0000000000,0,S,17,7
0,7402,4,0000000000,0,A,12,2
0,7403,6,0000000000,0,B,17,7
0,7404,9,0010000000,128,C,17,7
0,7405,14,0000000000,0,D,17,7
0,7406,6,0000000000,0,S,16,6
0,7407,9,0000000000,0,A,18,8
0,7408,6,0000000000,0,B,18,8
0,7409,8,0000000000,0,C,19,9
0,7410,10,0000000000,0,D,18,8
0,7411,3,0000000000,0,S,10,0
0,7412,5,0000000000,0,A,19,9
0,7413,5,0000000000,0,B,18,8
0,7414,7,0000000000,0,C,19,9
0,7415,7,0000000000,0,D,19,9
0,7416,9,0000000000,0,S,17,7
0,7417,7,0000100000,32,A,19,9
0,7418,8,0010000000,128,B,19,9
0,7419,5,0000000000,0,C,16,6
0,7420,5,0000000000,0,D,12,2
0,7421,3,0000000000,0,S,13,3
0,7422,8,0000000000,0,A,19,9
0,7423,4,0000000000,0,B,17,7
0,7424,6,0000000000,0,C,19,9
0,7425,8,0000000000,0,D,17,7
0,7426,6,0000000000,0,S,17,7
0,7427,3,0000000000,0,A,18,8
0,7428,6,0000000000,0,B,19,9
0,7429,3,0000000000,0,C,17,7
0,7430,5,0000000000,0,D,18,8
0,7431,6,0001000000,64,S,16,6
0,7432,7,0000000000,0,A,19,9
0,7433,9,0000000000,0,B,12,2
0,7434,10,0000000000,0,C,18,8
0,7435,10,0000000000,0,D,19,9
0,7436,6,0000000000,0,S,17,7
0,7437,5,0000000000,0,A,13,3
0,7438,6,0000000000,0,B,18,8
0,7439,9,0000000000,0,C,18,8
0,7440,8,0000000000,0,D,18,8
0,7441,4,0000000000,0,S,16,6
0,7442,15,0001000000,64,A,12,2
0,7443,5,0000000000,0,B,16,6
0,7444,6,0000000000,0,C,19,9
0,7445,8,0000000000,0,D,18,8
0,7446,6,0000000000,0,S,16,6
0,7447,5,0000000000,0,A,18,8
0,7448,9,0000000000,0,B,18,8
0,7449,6,0000000000,0,C,19,9
0,7450,7,0000000000,0,D,18,8
0,7451,10,0000000000,0,S,16,6
0,7452,5,0000000000,0,A,14,4
0,7453,7,0000000000,0,B,19,9
0,7454,6,0000000000,0,C,19,9
0,7455,9,0000000000,0,D,18,8
0,7456,3,0000000000,0,S,10,0
0,7457,9,0000000000,0,A,19,9
